Timestamp,SensorName,ContactID,ContactIndex,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,Fx,Fy,Fz,ForceMagnitude,ForceAlongNormal
1.7167,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5731,2.5731,-2.5731
1.7167,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3370,2.3370,-2.3370
1.7167,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3319,2.3319,-2.3319
1.7167,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5680,2.5680,-2.5680
1.9000,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
1.9000,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
1.9000,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
1.9000,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
2.0833,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
2.0833,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
2.0833,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
2.0833,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
2.2667,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5731,2.5731,-2.5731
2.2667,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3370,2.3370,-2.3370
2.2667,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3319,2.3319,-2.3319
2.2667,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5680,2.5680,-2.5680
2.4500,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
2.4500,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
2.4500,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
2.4500,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
2.6333,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5729,2.5729,-2.5729
2.6333,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3372,2.3372,-2.3372
2.6333,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3321,2.3321,-2.3321
2.6333,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5678,2.5678,-2.5678
2.8167,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
2.8167,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
2.8167,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3318,2.3318,-2.3318
2.8167,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
3.0000,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
3.0000,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
3.0000,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
3.0000,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
3.1833,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5731,2.5731,-2.5731
3.1833,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
3.1833,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3319,2.3319,-2.3319
3.1833,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5680,2.5680,-2.5680
3.3667,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5734,2.5734,-2.5734
3.3667,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
3.3667,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3316,2.3316,-2.3316
3.3667,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
3.5500,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
3.5500,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
3.5500,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3320,2.3320,-2.3320
3.5500,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5678,2.5678,-2.5678
3.7333,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
3.7333,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
3.7333,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3320,2.3320,-2.3320
3.7333,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
3.9167,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5734,2.5734,-2.5734
3.9167,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
3.9167,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3316,2.3316,-2.3316
3.9167,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
4.1000,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
4.1000,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
4.1000,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
4.1000,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
4.2833,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5732,2.5732,-2.5732
4.2833,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3370,2.3370,-2.3370
4.2833,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3318,2.3318,-2.3318
4.2833,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5680,2.5680,-2.5680
4.4667,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
4.4667,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
4.4667,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
4.4667,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
4.6500,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
4.6500,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
4.6500,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
4.6500,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
4.8333,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
4.8333,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
4.8333,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
4.8333,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
5.0167,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
5.0167,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
5.0167,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
5.0167,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
5.2000,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5732,2.5732,-2.5732
5.2000,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3370,2.3370,-2.3370
5.2000,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3318,2.3318,-2.3318
5.2000,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5680,2.5680,-2.5680
5.3833,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5732,2.5732,-2.5732
5.3833,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
5.3833,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3318,2.3318,-2.3318
5.3833,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
5.5667,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5734,2.5734,-2.5734
5.5667,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
5.5667,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3316,2.3316,-2.3316
5.5667,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
5.7500,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
5.7500,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
5.7500,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
5.7500,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
5.9333,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
5.9333,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
5.9333,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
5.9333,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
6.1167,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5732,2.5732,-2.5732
6.1167,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
6.1167,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3318,2.3318,-2.3318
6.1167,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
6.3000,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
6.3000,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
6.3000,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3320,2.3320,-2.3320
6.3000,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
6.4833,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5727,2.5727,-2.5727
6.4833,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3374,2.3374,-2.3374
6.4833,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3323,2.3323,-2.3323
6.4833,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5676,2.5676,-2.5676
6.6667,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
6.6667,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
6.6667,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
6.6667,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
6.8500,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
6.8500,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
6.8500,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
6.8500,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5682,2.5682,-2.5682
7.0333,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
7.0333,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
7.0333,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3319,2.3319,-2.3319
7.0333,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
7.2167,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5731,2.5731,-2.5731
7.2167,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3370,2.3370,-2.3370
7.2167,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3319,2.3319,-2.3319
7.2167,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
7.4000,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
7.4000,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
7.4000,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3320,2.3320,-2.3320
7.4000,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
7.5833,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5730,2.5730,-2.5730
7.5833,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3371,2.3371,-2.3371
7.5833,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3320,2.3320,-2.3320
7.5833,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5679,2.5679,-2.5679
7.7667,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
7.7667,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3369,2.3369,-2.3369
7.7667,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
7.7667,contact_sensor_4,0,0,-0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5681,2.5681,-2.5681
7.9500,contact_sensor_1,0,0,0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5733,2.5733,-2.5733
7.9500,contact_sensor_2,0,0,-0.2500,0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3368,2.3368,-2.3368
7.9500,contact_sensor_3,0,0,0.2500,-0.2500,0.0600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3317,2.3317,-2.3317
